geometry,distance_along_m,heading
POINT (-65.647281 49.242237),0.0,78.19524976946946
POINT (-65.64700250000001 49.24227500000001),20.71616686210671,78.19524094501367
POINT (-65.646724 49.242313),41.43231649457712,75.74596131255453
POINT (-65.64651900000001 49.242347),56.83196762120621,75.74595190078173
POINT (-65.646314 49.242381),72.23160772245522,75.7832824221556
POINT (-65.64578800000001 49.242468),111.7382606426901,75.78325839192132
POINT (-65.645262 49.242555),151.24484114237086,73.2829341564235
POINT (-65.6451855 49.24257),157.06000673140824,73.2829293522426
POINT (-65.645109 49.242585),162.87517054847387,73.09577966960177
POINT (-65.6446705 49.242672),196.24051765881038,73.09575158646362
POINT (-65.644232 49.242759),229.6058060376874,70.68201696646747
POINT (-65.644031 49.242805000000004),245.1109161760475,70.68200030572251
POINT (-65.64383 49.242851),260.61601240824456,70.07231123319787
POINT (-65.6437455 49.242871),267.15897203374595,70.07230378593368
POINT (-65.643661 49.242891),273.7019291309416,67.32742076308404
POINT (-65.643606 49.242906000000005),278.04056622036734,67.32741458679027
POINT (-65.643551 49.242921),282.37920210864905,67.32728158359129
POINT (-65.6432045 49.2430155),309.71258058056037,67.32724258613018
POINT (-65.642858 49.24311),337.04591136661395,61.84481100650203
POINT (-65.64273349999999 49.243153500000005),347.3220357835882,61.844790004271374
POINT (-65.642609 49.243197),357.5981527437664,61.35854508139039
POINT (-65.64248699999999 49.2432405),367.7140171423565,61.358523835608025
POINT (-65.642365 49.243284),377.829874271742,60.351748705588705
POINT (-65.64210800000001 49.2433795),399.3483735608275,60.35170106961448
POINT (-65.641851 49.243475),420.866839612018,59.39692498238065
POINT (-65.64175 49.243514),429.40532516168815,59.39690515825015
POINT (-65.641649 49.243553),437.9438054348159,59.19415807517635
POINT (-65.641351 49.243669),463.1892605598027,59.194098869853576
POINT (-65.641053 49.243785),488.43466948657726,56.49908412022364
POINT (-65.640751 49.2439155),514.783625438233,56.49901442697558
POINT (-65.640449 49.244046),541.1325304063308,53.536626559474485
POINT (-65.6402925 49.2441215),555.288071729798,53.536584692424924
POINT (-65.640136 49.244197),569.4435983504866,53.73892571375575
POINT (-65.6401005 49.244214),572.6462881645815,53.73891629102519
POINT (-65.640065 49.244231),575.8489772257517,50.505808141451496
POINT (-65.639881 49.24433),593.1912455712686,50.50575176003474
